Company,Job title,Location,Graduation year,Degree,Branch,Experience requirement,Skills,Job description
IndusInd Bank,Project Engineer,Bangalore,2023,Diploma,Structural Engineering,1-3 Years,"Site Supervision, Revit, AutoCAD, Primavera, Estimation & Costing","IndusInd Bank is expanding its Bangalore team and seeking a Project Engineer. A Diploma in Structural Engineering is required along with working knowledge of Site Supervision, Revit, AutoCAD, Primavera, Estimation & Costing. Experience: 1-3 Years."
UltraTech Cement,Instrumentation Engineer,Bhubaneswar,2019,Diploma,Instrumentation Engineering,2-4 Years,"SCADA, Embedded C, Power Systems, VLSI Design","UltraTech Cement has an opening for a Instrumentation Engineer based in Bhubaneswar. The ideal candidate is a Diploma graduate in Instrumentation Engineering with proficiency in SCADA, Embedded C, Power Systems, VLSI Design. Required experience: 2-4 Years."
CarDekho,Automation Test Engineer,Nashik,2020,MCA,Computer Science,Fresher,"Selenium, JIRA, Automation Testing, Postman, JUnit","CarDekho is expanding its Nashik team and seeking a Automation Test Engineer. A MCA in Computer Science is required along with working knowledge of Selenium, JIRA, Automation Testing, Postman, JUnit. Experience: Fresher."
Tata Power,Plant Engineer,Nagpur,2026,B.Tech,Chemical Engineering,8-12 Years,"Process Optimization, Quality Control, Aspen Plus, Process Design, Plant Operations","Exciting opportunity for a Plant Engineer at Tata Power (Nagpur). Applicants must be B.Tech graduates in Chemical Engineering, comfortable with Process Optimization, Quality Control, Aspen Plus, Process Design, Plant Operations, and have 8-12 Years of industry experience."
Titan Company,Backend Developer,Surat,2018,MCA,Computer Science,0-1 Years,"Docker, HTML/CSS, Node.js, React","We are looking for a passionate Backend Developer to join Titan Company in Surat. Candidates should hold a MCA (Computer Science) and be skilled in Docker, HTML/CSS, Node.js, React. Experience level: 0-1 Years."
Uber India,Plant Engineer,Nagpur,2023,M.Tech,Petrochemical Engineering,8-12 Years,"Quality Control, Plant Operations, Process Design, Six Sigma","Uber India is hiring a Plant Engineer for its Nagpur office. The role calls for a M.Tech in Petrochemical Engineering and hands-on knowledge of Quality Control, Plant Operations, Process Design, Six Sigma. Experience required: 8-12 Years."
Tejas Networks,CAD Engineer,Whitefield Bangalore,2021,B.E.,Industrial Engineering,0-1 Years,"AutoCAD, GD&T, SolidWorks, Ansys","Tejas Networks has an opening for a CAD Engineer based in Whitefield Bangalore. The ideal candidate is a B.E. graduate in Industrial Engineering with proficiency in AutoCAD, GD&T, SolidWorks, Ansys. Required experience: 0-1 Years."
Lenskart,Infrastructure Engineer,Surat,2017,M.Tech,Information Technology,5-8 Years,"Linux, AWS, CI/CD","Lenskart has an opening for a Infrastructure Engineer based in Surat. The ideal candidate is a M.Tech graduate in Information Technology with proficiency in Linux, AWS, CI/CD. Required experience: 5-8 Years."
Urban Company,Client Servicing Executive,Ranchi,2020,B.Com,General,5-8 Years,"Communication, MS Office, Email Etiquette, Problem Solving","Urban Company has an opening for a Client Servicing Executive based in Ranchi. The ideal candidate is a B.Com graduate in General with proficiency in Communication, MS Office, Email Etiquette, Problem Solving. Required experience: 5-8 Years."
Divi's Laboratories,Accountant,Kolkata,2022,B.Com,Accounting,3-5 Years,"Budgeting, GST, SAP, Financial Modeling","Exciting opportunity for a Accountant at Divi's Laboratories (Kolkata). Applicants must be B.Com graduates in Accounting, comfortable with Budgeting, GST, SAP, Financial Modeling, and have 3-5 Years of industry experience."
Deloitte India,Computer Vision Engineer,Chennai,2021,B.Sc,Information Technology,1-2 Years,"Pandas, Machine Learning, TensorFlow, R","Exciting opportunity for a Computer Vision Engineer at Deloitte India (Chennai). Applicants must be B.Sc graduates in Information Technology, comfortable with Pandas, Machine Learning, TensorFlow, R, and have 1-2 Years of industry experience."
Salesforce India,Recruiter,Chandigarh,2019,BBA,Human Resources,0-1 Years,"Onboarding, HRMS, Performance Management, Communication","Salesforce India is expanding its Chandigarh team and seeking a Recruiter. A BBA in Human Resources is required along with working knowledge of Onboarding, HRMS, Performance Management, Communication. Experience: 0-1 Years."
Dabur India,Software Engineer,Hinjewadi Pune,2019,M.Tech,Information Technology,0-1 Years,"Spring Boot, Microservices, SQL, Node.js, AWS","We are looking for a passionate Software Engineer to join Dabur India in Hinjewadi Pune. Candidates should hold a M.Tech (Information Technology) and be skilled in Spring Boot, Microservices, SQL, Node.js, AWS. Experience level: 0-1 Years."
Amazon India,Chemical Engineer,Noida Sector 62,2020,B.E.,Chemical Engineering,8-12 Years,"Process Design, Quality Control, Process Optimization","We are looking for a passionate Chemical Engineer to join Amazon India in Noida Sector 62. Candidates should hold a B.E. (Chemical Engineering) and be skilled in Process Design, Quality Control, Process Optimization. Experience level: 8-12 Years."
Tech Mahindra,Frontend Developer,Kochi,2020,B.E.,Electronics and Communication,Fresher,"HTML/CSS, MySQL, React","Exciting opportunity for a Frontend Developer at Tech Mahindra (Kochi). Applicants must be B.E. graduates in Electronics and Communication, comfortable with HTML/CSS, MySQL, React, and have Fresher of industry experience."
Dr. Reddy's Laboratories,Computer Vision Engineer,Remote,2017,MCA,Mathematics,3-5 Years,"Machine Learning, Tableau, Python, Excel, Power BI","Dr. Reddy's Laboratories is expanding its Remote team and seeking a Computer Vision Engineer. A MCA in Mathematics is required along with working knowledge of Machine Learning, Tableau, Python, Excel, Power BI. Experience: 3-5 Years."
ONGC,VLSI Design Engineer,Nashik,2022,B.Tech,Electrical Engineering,5-8 Years,"Power Systems, Microcontrollers, PLC","ONGC is hiring a VLSI Design Engineer for its Nashik office. The role calls for a B.Tech in Electrical Engineering and hands-on knowledge of Power Systems, Microcontrollers, PLC. Experience required: 5-8 Years."
Dabur India,Recruiter,Chandigarh,2025,PGDM,Human Resources,5-8 Years,"Talent Management, Performance Management, HRMS, Employee Engagement, HR Policies","Dabur India has an opening for a Recruiter based in Chandigarh. The ideal candidate is a PGDM graduate in Human Resources with proficiency in Talent Management, Performance Management, HRMS, Employee Engagement, HR Policies. Required experience: 5-8 Years."
Ninjacart,Accounts Manager,Whitefield Bangalore,2019,B.Com,Finance,2-4 Years,"Financial Modeling, GST, Auditing, Budgeting","Join Ninjacart as a Accounts Manager in Whitefield Bangalore! We need someone with a B.Com in Finance, strong command of Financial Modeling, GST, Auditing, Budgeting, and 2-4 Years of relevant experience."
Tata Consultancy Services,Business Development Executive,Thiruvananthapuram,2026,MBA,General Management,1-3 Years,"Google Ads, Negotiation, SEM, SEO","Tata Consultancy Services is hiring a Business Development Executive for its Thiruvananthapuram office. The role calls for a MBA in General Management and hands-on knowledge of Google Ads, Negotiation, SEM, SEO. Experience required: 1-3 Years."
Amazon India,NLP Engineer,Whitefield Bangalore,2016,B.Tech,Mathematics,5-7 Years,"NumPy, TensorFlow, Power BI, R, PyTorch","Amazon India has an opening for a NLP Engineer based in Whitefield Bangalore. The ideal candidate is a B.Tech graduate in Mathematics with proficiency in NumPy, TensorFlow, Power BI, R, PyTorch. Required experience: 5-7 Years."
Whirlpool India,Technical Writer,Bhubaneswar,2021,B.A.,General,0-1 Years,"Prototyping, Content Writing, Adobe Photoshop, Sketch, Illustrator","We are looking for a passionate Technical Writer to join Whirlpool India in Bhubaneswar. Candidates should hold a B.A. (General) and be skilled in Prototyping, Content Writing, Adobe Photoshop, Sketch, Illustrator. Experience level: 0-1 Years."
Hindustan Unilever,Content Writer,Chandigarh,2025,BCA,General,1-2 Years,"Prototyping, Figma, SEO Writing, Sketch","Exciting opportunity for a Content Writer at Hindustan Unilever (Chandigarh). Applicants must be BCA graduates in General, comfortable with Prototyping, Figma, SEO Writing, Sketch, and have 1-2 Years of industry experience."
Blinkit,Electrical Engineer,Bhubaneswar,2021,B.E.,Instrumentation Engineering,2-3 Years,"MATLAB, Microcontrollers, VLSI Design","Exciting opportunity for a Electrical Engineer at Blinkit (Bhubaneswar). Applicants must be B.E. graduates in Instrumentation Engineering, comfortable with MATLAB, Microcontrollers, VLSI Design, and have 2-3 Years of industry experience."
Ashok Leyland,Marketing Executive,Gandhinagar,2019,BBA,Marketing,2-4 Years,"Negotiation, CRM, Google Ads, Lead Generation","Ashok Leyland has an opening for a Marketing Executive based in Gandhinagar. The ideal candidate is a BBA graduate in Marketing with proficiency in Negotiation, CRM, Google Ads, Lead Generation. Required experience: 2-4 Years."
Paytm,Security Engineer,Coimbatore,2025,B.Tech,Computer Science,Fresher,"Networking, TCP/IP, Windows Server, Cybersecurity, VPN","Join Paytm as a Security Engineer in Coimbatore! We need someone with a B.Tech in Computer Science, strong command of Networking, TCP/IP, Windows Server, Cybersecurity, VPN, and Fresher of relevant experience."
InMobi,Manual Tester,Mohali,2017,B.E.,Information Technology,2-3 Years,"JUnit, Automation Testing, JIRA, Test Case Design","Exciting opportunity for a Manual Tester at InMobi (Mohali). Applicants must be B.E. graduates in Information Technology, comfortable with JUnit, Automation Testing, JIRA, Test Case Design, and have 2-3 Years of industry experience."
Whirlpool India,Electrical Engineer,Pune,2016,B.E.,Electrical and Electronics,1-2 Years,"Embedded C, MATLAB, PCB Design, Power Systems","Whirlpool India has an opening for a Electrical Engineer based in Pune. The ideal candidate is a B.E. graduate in Electrical and Electronics with proficiency in Embedded C, MATLAB, PCB Design, Power Systems. Required experience: 1-2 Years."
Sutherland Global,HR Executive,Guwahati,2018,MBA,General Management,0-2 Years,"Talent Management, HRMS, Employee Engagement, Communication","Exciting opportunity for a HR Executive at Sutherland Global (Guwahati). Applicants must be MBA graduates in General Management, comfortable with Talent Management, HRMS, Employee Engagement, Communication, and have 0-2 Years of industry experience."
EXL Service,Plant Engineer,Chennai,2022,B.Tech,Petrochemical Engineering,Fresher,"Process Design, Plant Operations, Safety Management, Six Sigma","EXL Service is expanding its Chennai team and seeking a Plant Engineer. A B.Tech in Petrochemical Engineering is required along with working knowledge of Process Design, Plant Operations, Safety Management, Six Sigma. Experience: Fresher."
Hindustan Unilever,Brand Manager,Nashik,2016,PGDM,General Management,2-3 Years,"Lead Generation, Negotiation, CRM","Hindustan Unilever is hiring a Brand Manager for its Nashik office. The role calls for a PGDM in General Management and hands-on knowledge of Lead Generation, Negotiation, CRM. Experience required: 2-3 Years."
Wabco India,Area Sales Manager,Remote,2022,MBA,Sales,4-6 Years,"Salesforce, Content Marketing, CRM","We are looking for a passionate Area Sales Manager to join Wabco India in Remote. Candidates should hold a MBA (Sales) and be skilled in Salesforce, Content Marketing, CRM. Experience level: 4-6 Years."
Bharat Heavy Electricals,Learning & Development Executive,Noida,2024,PGDM,Human Resources,4-6 Years,"Performance Management, Talent Management, HR Policies","Exciting opportunity for a Learning & Development Executive at Bharat Heavy Electricals (Noida). Applicants must be PGDM graduates in Human Resources, comfortable with Performance Management, Talent Management, HR Policies, and have 4-6 Years of industry experience."
Swiggy,UI/UX Designer,Nagpur,2019,B.Des,Design,0-2 Years,"Adobe XD, Adobe Photoshop, Illustrator, Sketch, Content Writing","Join Swiggy as a UI/UX Designer in Nagpur! We need someone with a B.Des in Design, strong command of Adobe XD, Adobe Photoshop, Illustrator, Sketch, Content Writing, and 0-2 Years of relevant experience."
ReNew Power,Production Chemist,Thiruvananthapuram,2018,M.Tech,Petrochemical Engineering,3-5 Years,"Six Sigma, Process Optimization, Plant Operations","ReNew Power has an opening for a Production Chemist based in Thiruvananthapuram. The ideal candidate is a M.Tech graduate in Petrochemical Engineering with proficiency in Six Sigma, Process Optimization, Plant Operations. Required experience: 3-5 Years."
WNS Global Services,QA Engineer,Ranchi,2023,MCA,Computer Science,Fresher,"API Testing, Automation Testing, JUnit","Exciting opportunity for a QA Engineer at WNS Global Services (Ranchi). Applicants must be MCA graduates in Computer Science, comfortable with API Testing, Automation Testing, JUnit, and have Fresher of industry experience."
Shree Cement,Content Writer,Remote,2024,B.Sc,Fine Arts,8-12 Years,"Figma, Illustrator, Wireframing, SEO Writing, Adobe Photoshop","Shree Cement has an opening for a Content Writer based in Remote. The ideal candidate is a B.Sc graduate in Fine Arts with proficiency in Figma, Illustrator, Wireframing, SEO Writing, Adobe Photoshop. Required experience: 8-12 Years."
Pidilite Industries,Manual Tester,Gurgaon,2021,BCA,Computer Science,7-10 Years,"Test Case Design, TestNG, Selenium","We are looking for a passionate Manual Tester to join Pidilite Industries in Gurgaon. Candidates should hold a BCA (Computer Science) and be skilled in Test Case Design, TestNG, Selenium. Experience level: 7-10 Years."
